City,Population,Users,Population_per_User
NEW YORK NY,8405837,302149,27.82
CHICAGO IL,1955130,164468,11.89
LOS ANGELES CA,1595037,144132,11.07
MIAMI FL,1339155,17675,75.77
SILICON VALLEY,1177609,27247,43.22
ORANGE COUNTY,1030185,12994,79.28
SAN DIEGO CA,959307,69995,13.71
PHOENIX AZ,943999,6133,153.92
DALLAS TX,942908,22157,42.56
ATLANTA GA,814885,24701,32.99
DENVER CO,754233,12421,60.72
AUSTIN TX,698371,14978,46.63
SEATTLE WA,671238,25063,26.78
TUCSON AZ,631442,5712,110.55
SAN FRANCISCO CA,629591,213609,2.95
SACRAMENTO CA,545776,7044,77.48
PITTSBURGH PA,542085,3643,148.8
WASHINGTON DC,418859,127001,3.3
NASHVILLE TN,327225,9270,35.3
BOSTON MA,248968,80021,3.11
